# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
  509    238.89    213.93    20.016    18.976       98.55      256.91
  510    633.06    213.64    20.564    19.621       59.50      141.74
  511    255.91    214.31    21.962    19.826       16.42      117.34
  512    376.94    215.47    19.514    18.628      156.53      353.74
  513    445.28    215.03    21.524    20.462       24.58       65.33
  514    270.23    215.56    20.810    19.753       47.42      125.51
  515    348.46    215.65    20.645    19.484       55.22      160.88
  516    384.00    215.44    18.953    17.557      262.34      948.82
  517    419.93    215.23    19.785    18.750      121.91      316.14
  518    560.04    215.82    18.837    17.939      291.74      667.49
  519    568.93    215.68    20.560    19.350       59.71      181.97
  520    311.29    216.78    19.486    18.473      160.58      407.96
  521    322.35    216.85    19.767    18.774      123.88      309.39
  522    461.82    216.04    19.592    18.724      145.66      323.85
  523    474.51    217.02    18.938    17.664      266.05      859.86
  524    683.87    216.32    20.169    18.928       85.60      268.38
  525    757.95    216.22    22.092    20.023       14.56       97.88
  526    294.87    217.68    19.960    18.967      103.79      258.90
  527    646.17    217.21    19.771    18.696      123.43      332.38
  528    698.79    217.81    21.967    20.553       16.34       60.11
  529    727.04    217.41    18.963    18.151      259.99      549.10
  530    409.75    219.01    16.806    14.359     1895.51    18049.35
  531    497.45    218.50    20.299    19.220       75.94      205.19
  532    560.04    215.82    18.837    17.939      291.78      667.49
  533    151.33    219.67    19.819    18.793      118.15      303.90
  534    424.92    220.51    19.423    18.180      170.19      534.81
  535    780.27    220.44    18.906    17.978      273.81      643.93
  536    160.21    221.99    20.133    19.217       88.44      205.73
  537    209.51    222.54    22.311    20.653       11.90       54.79
  538    233.90    222.31    23.532    22.787        3.87        7.68
  539    432.29    222.60    19.416    18.541      171.20      383.32
  540    491.37    222.65    19.406    18.514      172.88      392.97
  541    536.31    222.08    21.838    19.995       18.39      100.43
  542    693.77    222.32    20.438    19.399       66.79      173.94
  543    719.19    222.88    20.027    18.951       97.51      262.86
  544    224.35    223.73    21.287    20.088       30.57       92.23
  545    247.00    223.08    21.299    19.957       30.23      104.04
  546    382.39    223.64    20.787    19.902       48.44      109.49
  547    417.78    224.00    19.583    18.562      146.78      375.89
  548    504.59    223.17    20.225    19.244       81.28      200.72
  549    643.31    223.93    21.476    19.960       25.68      103.75
  550     50.05    224.35    20.542    19.979       60.69      101.93
  551    446.52    224.14    21.233    20.618       32.11       56.58
  552    616.06    224.98    16.717    15.523     2057.71     6178.74
  553    453.30    225.44    22.452    22.484       10.45       10.15
  554    686.37    225.19    19.268    18.246      196.25      503.17
  555    126.02    226.47    19.691    19.114      132.96      226.20
  556    324.55    226.27    19.965    18.946      103.23      263.94
  557    568.51    226.18    18.745    17.975      317.71      645.67
  558    772.29    226.57    17.285    15.290     1218.67     7656.79
  559    167.37    227.69    21.930    20.331       16.90       73.73
  560    229.83    228.79    22.238    20.317       12.73       74.67
  561    350.48    228.42    19.797    18.781      120.51      307.22
  562    574.47    227.47    20.108    18.470       90.55      409.35
  563    747.14    228.78    20.708    19.503       52.11      158.00
  564    341.03    229.36    21.368    20.032       28.38       97.08
  565    469.15    229.45    19.487    18.241      160.37      505.34
  566    585.22    229.83    18.617    17.394      357.35     1102.39
  567    190.63    230.12    17.352    15.668     1145.95     5405.58
  568    296.03    230.64    19.271    18.032      195.77      612.89
  569    308.51    230.75    19.912    19.027      108.45      244.95
  570    607.41    230.31    19.734    18.743      127.78      318.36
  571    719.48    230.67    19.958    18.924      103.91      269.43
  572    673.55    231.75    20.326    19.218       74.05      205.42
  573    385.72    232.38    18.670    17.186      340.50     1335.03
  574    393.10    232.25    20.434    19.661       67.06      136.70
  575    481.41    232.96    16.614    16.295     2260.92     3034.50
  576    758.66    232.72    19.555    18.593      150.62      365.34
  577    237.40    233.09    19.102    18.072      228.75      590.46
  578    652.19    233.63    21.537    19.925       24.27      107.14
  579    157.63    234.30    21.243    20.088       31.82       92.22
  580    549.37    234.34    16.909    15.589     1723.92     5813.83
  581    621.83    234.22    19.384    18.398      176.35      437.48
  582    100.76    235.85    20.452    19.698       65.95      132.07
  583    267.63    235.21    21.507    20.253       24.95       79.23
  584    449.31    235.99    19.179    18.138      213.11      555.52
  585    746.03    235.41    20.709    20.008       52.04       99.31
  586    201.78    236.50    19.945    18.860      105.21      285.63
  587    419.14    236.80    21.686    20.608       21.17       57.14
  588    274.56    238.31    20.264    19.149       78.42      218.98
  589    289.47    238.76    17.516    15.613      985.09     5684.19
  590    667.87    238.47    19.516    18.761      156.15      313.16
  591    787.38    238.79    19.647    18.747      138.48      317.06
  592    796.32    238.54    19.826    18.785      117.35      306.10
  593    577.76    239.14    19.131    18.297      222.56      479.78
  594    460.75    239.98    21.025    19.807       38.92      119.42
  595    708.33    240.31    19.948    19.004      104.86      250.18
  596    746.10    240.55    21.097    19.833       36.40      116.63
  597    770.60    240.91    19.086    18.174      232.04      537.38
  598    184.50    241.27    21.079    19.607       37.02      143.59
  599    348.25    242.06    18.816    17.513      297.56      988.11
  600    396.59    245.97    21.223    19.831       32.41      116.83
  601    497.20    241.68    20.995    20.602       40.00       57.44
  602    715.24    241.60    19.007    18.188      249.64      530.78
  603    427.73    242.18    19.355    18.354      181.06      455.41
  604    221.84    244.43    18.836    17.868      292.18      712.24
  605    375.43    243.87    19.030    18.012      244.31      624.07
  606    518.67    244.07    20.727    19.662       51.21      136.58
  607    191.29    244.61    19.882    19.079      111.43      233.58
  608    238.81    244.94    20.392    19.349       69.72      182.20
  609    342.09    244.31    20.726    19.132       51.24      222.51
  610    604.60    244.22    19.209    18.308      207.24      475.28
  611    656.43    244.20    20.152    19.420       86.97      170.57
  612    734.36    244.58    20.351    19.269       72.36      196.04
  613    756.27    244.98    19.520    18.644      155.55      348.58
  614     77.19    245.15    19.449    18.710      166.18      328.21
  615    396.69    246.06    21.184    19.831       33.60      116.83
  616    625.23    245.97    17.226    15.408     1287.54     6868.45
  617    661.87    245.37    20.082    19.403       92.72      173.23
  618    764.96    245.13    19.318    18.511      187.38      394.11
  619    779.65    245.20    19.938    19.330      105.88      185.37
  620    503.43    246.46    19.478    18.586      161.75      367.75
  621    696.00    246.51    20.785    19.669       48.51      135.70
  622    713.90    246.21    19.243    18.406      200.75      433.93
  623    770.49    247.22    19.203    18.208      208.36      520.73
  624    313.92    248.31    19.959    19.031      103.87      244.21
  625    435.14    248.37    21.022    19.953       39.00      104.45
  626    492.86    248.43    21.229    20.326       32.24       74.05
  627    741.99    248.75    17.653    15.929      868.50     4251.42
  628    319.68    249.43    20.385    19.364       70.13      179.67
  629    789.85    249.44    22.898    21.829        6.93       18.54
  630    248.65    251.06    20.507    19.406       62.71      172.85
  631    361.53    250.80    20.503    19.345       62.91      182.88
  632    418.73    250.66    19.380    18.554      177.07      378.78
  633    443.56    250.39    20.315    18.961       74.82      260.48
  634    566.32    250.13    22.728    21.292        8.11       30.43
  635    594.34    250.20    18.843    17.619      290.40      896.56
  636    667.86    250.47    19.310    18.483      188.86      404.41
  637    724.24    250.46    20.054    19.121       95.11      224.73
  638    164.31    251.34    23.033    20.783        6.12       48.63
  639    294.22    251.25    19.770    18.909      123.61      273.10
  640    733.50    254.63    18.652    17.273      346.03     1232.16
  641     47.35    252.53    20.322    19.680       74.33      134.22
  642    355.95    252.92    19.566    18.590      149.15      366.30
  643    761.63    252.84    20.504    19.647       62.85      138.41
  644    783.08    252.60    22.140    21.862       13.93       18.00
  645     58.43    253.56    20.627    20.390       56.12       69.85
  646    190.27    253.99    19.883    18.921      111.40      270.14
  647    286.05    253.49    19.410    18.139      172.11      555.23
  648    526.91    253.17    16.831    15.526     1851.31     6158.89
  649    550.52    253.10    21.558    20.836       23.80       46.30
  650    647.83    253.47    20.629    20.067       56.01       94.04
  651    717.14    253.03    20.509    19.442       62.56      167.17
  652    617.96    254.35    21.167    19.983       34.12      101.57
  653    733.50    254.63    18.652    17.273      345.99     1232.16
  654    376.71    255.37    21.592    20.125       23.08       89.12
  655    443.81    255.99    19.692    18.567      132.85      374.21
  656    501.17    255.55    20.240    19.362       80.20      179.96
  657    508.22    255.95    20.858    20.404       45.39       68.95
  658    669.33    255.91    18.820    17.968      296.54      650.06
  659    116.37    256.79    20.562    20.304       59.57       75.55
  660    153.22    256.37    20.838    19.570       46.23      148.63
  661    275.71    256.64    19.993    19.301      100.61      190.37
  662    343.63    256.30    20.802    19.873       47.77      112.41
  663    678.51    257.60    19.121    18.255      224.77      498.83
  664    125.74    258.06    18.511    17.233      394.15     1279.13
  665    247.70    257.87    21.094    19.949       36.53      104.82
  666    483.25    257.81    18.997    18.218      251.89      516.28
  667    635.65    257.35    21.593    20.747       23.06       50.27
  668     86.00    258.57    19.723    18.788      129.03      305.45
  669    207.67    258.69    19.508    18.645      157.27      348.43
  670    292.70    258.17    18.034    16.233      611.62     3213.61
  671    220.04    259.25    20.061    19.167       94.52      215.31
  672    231.67    259.39    18.572    17.368      372.44     1129.24
  673    775.13    260.00    19.477    18.593      161.89      365.56
  674    581.82    260.49    21.300    20.202       30.21       83.01
  675    752.10    260.76    20.774    19.806       49.01      119.55
  676    764.79    260.26    21.122    20.116       35.59       89.87
  677     77.60    261.61    19.587    19.080      146.26      233.36
  678    472.65    261.90    20.356    19.538       72.07      153.03
  679    502.13    261.19    20.858    19.881       45.35      111.63
  680    572.77    261.62    19.398    18.718      174.13      325.59
  681    612.15    261.47    19.799    18.726      120.32      323.16
  682    739.10    261.82    19.911    18.787      108.56      305.66
  683    376.26    263.00    19.764    18.834      124.30      292.60
  684    669.01    261.71    18.739    17.884      319.36      701.79
  685    277.61    263.48    19.889    19.045      110.73      240.92
  686    333.31    263.80    19.611    18.623      143.11      355.51
  687    532.19    263.25    19.968    19.274      102.98      195.24
  688    567.07    263.30    20.457    19.570       65.65      148.57
  689    653.71    263.49    19.666    18.896      135.96      276.50
  690    210.30    264.34    19.391    18.466      175.20      410.77
  691    265.30    264.14    19.625    18.639      141.23      350.16
  692    647.74    265.90    19.388    18.443      175.79      419.44
  693    769.49    265.26    21.559    20.119       23.79       89.65
  694    144.46    266.08    22.453    20.793       10.44       48.18
  695    161.07    266.75    17.753    16.040      791.87     3838.01
  696    404.32    266.62    21.585    20.147       23.23       87.36
  697    417.41    266.61    19.783    18.946      122.13      264.02
  698    487.84    266.49    19.019    17.912      246.75      684.25
  699    515.00    266.32    20.041    19.131       96.30      222.63
  700    783.92    266.96    20.124    19.249       89.18      199.69
  701    103.69    270.61    19.223    18.384      204.52      442.97
  702    306.94    267.84    19.838    18.899      116.11      275.60
  703    340.20    267.19    19.870    19.076      112.73      234.25
  704    565.97    268.74    19.924    19.617      107.22      142.32
  705    606.41    268.93    20.711    20.112       51.95       90.17
  706    210.50    269.30    19.146    18.207      219.56      521.65
  707    335.30    269.40    19.816    18.983      118.49      255.16
  708    442.81    269.62    22.571    20.347        9.36       72.64
  709    495.41    269.41    21.113    25.141       35.86        0.88
  710    559.09    269.46    21.247    21.421       31.72       27.03
  711    696.48    269.35    16.902    15.595     1734.31     5783.21
  712    723.43    269.89    20.234    19.311       80.58      188.55
  713    103.68    270.61    19.223    18.384      204.52      442.97
  714    175.61    270.12    21.243    19.703       31.83      131.50
  715    200.26    270.79    21.958    20.336       16.47       73.38
  716    318.31    271.02    17.436    15.526     1061.11     6160.90
  717    411.45    270.40    20.557    19.755       59.88      125.36
  718    535.58    270.78    19.383    18.485      176.48      403.75
  719    260.43    271.54    20.638    19.432       55.54      168.77
  720    372.47    271.77    18.975    17.964      256.92      652.43
  721    637.14    271.25    20.241    19.060       80.09      237.79
  722    671.34    271.23    19.636    18.619      139.89      356.64
  723    148.03    272.79    21.174    19.902       33.91      109.44
  724    460.83    272.54    19.549    18.140      151.49      554.66
  725    511.99    272.61    21.045    19.854       38.19      114.41
  726    549.93    272.62    17.368    15.547     1129.38     6039.50
  727    756.87    272.24    20.040    18.892       96.42      277.56
  728    306.43    273.64    20.491    20.116       63.62       89.86
  729    344.71    273.24    19.334    17.966      184.71      650.78
  730    398.11    273.48    20.108    19.155       90.54      217.79
  731    576.44    273.38    20.567    19.733       59.33      127.83
  732    432.02    274.53    20.296    19.541       76.16      152.58
  733    506.05    274.40    19.650    18.918      137.98      270.94
  734    771.38    274.78    21.805    20.635       18.97       55.73
  735    212.23    275.92    21.539    19.956       24.24      104.18
  736    426.32    275.50    19.731    18.517      128.15      391.96
  737    127.45    276.64    20.325    19.817       74.14      118.40
  738    173.48    276.93    20.784    19.436       48.59      168.09
  739    190.59    276.55    20.728    19.452       51.16      165.71
  740    419.93    276.57    19.308    17.889      189.14      698.81
  741    240.65    277.07    21.131    19.626       35.29      141.11
  742    281.45    278.50    20.430    19.496       67.30      159.04
  743    411.94    278.42    20.522    18.993       61.83      252.78
  744    704.78    278.60    21.853    19.807       18.15      119.40
  745     86.44    279.96    20.542    19.800       60.68      120.20
  746    315.52    279.77    19.346    17.943      182.65      665.04
  747    439.99    279.86    21.634    20.850       22.20       45.72
  748    505.41    279.71    19.284    18.505      193.35      396.13
  749    721.84    279.12    19.387    18.491      175.95      401.42
  750    249.60    280.75    20.031    19.145       97.22      219.73
  751    595.12    280.47    17.393    15.508     1103.50     6262.03
  752    657.10    280.07    18.881    17.973      280.30      646.61
  753     56.48    281.27    19.940    19.338      105.65      183.96
  754    354.64    281.57    18.096    16.307      577.65     2999.31
  755    608.57    282.06    19.047    18.133      240.60      558.40
  756    735.96    281.50    19.891    19.061      110.54      237.50
  757    389.05    282.47    19.960    18.995      103.77      252.25
  758    473.27    282.55    16.650    13.785     2188.24    30609.39
  759    580.41    282.37    20.555    20.242       59.99       80.06
  760    664.80    282.69    20.560    19.693       59.70      132.69
  761    757.06    282.47    20.958    20.213       41.38       82.16
  762    300.75    283.55    21.477    21.446       25.65       26.41
  763    521.85    283.10    19.674    18.739      134.97      319.37
  764    617.52    283.26    23.605    20.574        3.61       58.95
  765    657.10    280.07    18.881    17.973      280.30      646.61
  766    361.27    284.79    19.674    18.717      135.00      325.94
  767    397.23    284.80    20.013    19.346       98.80      182.72
  768    417.37    285.36    16.910    15.588     1721.39     5816.79
  769    451.48    285.32    19.986    19.471      101.31      162.73
  770    100.55    286.53    19.689    18.980      133.22      255.75
  771    183.67    286.52    19.652    18.506      137.77      395.91
  772    285.15    286.97    20.299    19.209       75.94      207.25
  773    312.18    286.64    17.482    15.699     1016.92     5252.66
  774    570.17    286.84    19.335    18.568      184.44      373.96
  775    790.71    286.82    16.531    14.656     2441.20    13732.17
  776    165.54    287.42    19.213    17.681      206.54      846.27
  777    201.04    287.14    19.366    18.221      179.28      514.75
  778    463.62    287.14    18.571    16.959      372.89     1646.14
  779    530.92    287.11    20.242    19.219       80.02      205.37
  780    644.51    287.20    21.385    20.096       27.92       91.50
  781    678.15    287.52    20.775    19.530       48.97      154.13
  782    487.68    288.18    20.321    20.367       74.43       71.35
  783    523.49    288.57    19.866    19.025      113.13      245.40
  784     74.23    289.91    19.313    18.751      188.21      315.94
  785    176.05    289.46    21.087    19.994       36.76      100.52
  786    215.45    289.15    19.615    18.221      142.54      514.81
  787    506.06    289.35    20.347    19.778       72.65      122.68
  788    356.05    290.82    20.127    19.152       88.94      218.30
  789    670.29    290.38    19.043    17.699      241.50      832.37
  790    716.85    290.22    19.631    18.695      140.50      332.69
  791    140.63    291.50    19.937    19.025      105.96      245.58
  792    430.69    291.36    20.423    19.778       67.75      122.63
  793    261.51    292.33    22.592    21.070        9.19       37.31
  794    273.79    292.85    19.570    18.598      148.62      363.83
  795    297.16    292.37    19.966    19.354      103.17      181.32
  796    330.70    292.85    19.571    18.644      148.49      348.81
  797    442.71    292.96    18.350    17.033      457.10     1537.10
  798    473.96    292.99    18.556    17.042      378.22     1525.05
  799    660.36    293.03    21.066    20.280       37.46       77.26
  800    687.63    293.91    19.941    19.006      105.55      249.81
  801    163.90    294.66    19.449    17.888      166.11      699.77
  802    452.68    295.02    20.305    20.307       75.51       75.37
  803    514.51    294.79    22.546    21.136        9.59       35.12
  804    507.44    295.55    19.480    18.469      161.49      409.58
  805    605.35    295.50    18.595    17.697      364.60      834.37
  806    622.61    295.28    21.027    19.650       38.83      138.04
  807    754.91    295.26    18.314    16.965      472.45     1636.84
  808     69.16    296.18    19.484    18.601      160.77      362.63
  809    232.54    296.49    19.603    18.524      144.16      389.47
  810    484.44    296.07    21.543    19.448       24.15      166.20
  811    611.51    296.36    20.077    18.979       93.11      256.18
  812    650.60    296.54    21.921    21.272       17.05       30.99
  813    327.41    298.00    19.718    18.649      129.61      347.00
  814    359.44    297.18    21.635    20.100       22.19       91.17
  815    573.22    297.65    20.109    19.139       90.47      220.94
  816    694.74    297.15    18.997    17.651      251.82      870.45
  817    384.67    298.45    18.849    17.467      288.65     1031.13
  818    587.86    298.28    19.180    18.362      212.73      451.91
  819    733.52    298.85    20.450    19.274       66.04      195.08
  820    135.90    299.41    19.432    18.734      168.75      320.95
  821    172.69    301.67    21.178    19.804       33.78      119.75
  822    344.25    301.96    21.598    20.154       22.96       86.79
  823    585.44    301.90    19.488    18.651      160.24      346.32
  824    674.69    301.51    20.254    19.400       79.17      173.74
  825    779.16    301.98    19.345    18.397      182.85      437.68
  826    239.37    302.30    19.678    18.287      134.55      484.40
  827    508.94    302.70    20.016    19.190       98.56      210.77
  828    523.27    302.55    19.585    18.861      146.61      285.37
  829    601.37    302.61    21.045    21.798       38.18       19.09
  830    667.82    302.62    18.857    18.082      286.47      584.98
  831    115.11    303.17    19.311    18.434      188.57      423.02
  832    296.47    303.23    19.470    18.565      162.98      374.84
  833    563.73    303.56    21.459    19.766       26.09      124.10
  834    612.77    303.69    21.335    19.914       29.23      108.28
  835    650.55    303.25    20.380    19.231       70.46      203.02
  836    660.52    303.83    19.377    18.683      177.58      336.48
  837    785.84    303.98    19.699    19.171      131.89      214.63
  838    463.47    304.94    19.728    18.819      128.51      296.64
  839    547.17    304.34    19.656    18.851      137.29      288.15
  840    725.74    304.25    20.996    19.589       39.96      146.05
  841     96.39    305.13    19.999    19.524      100.13      155.04
  842    442.49    305.40    21.147    20.137       34.76       88.17
  843    711.31    305.47    21.204    19.875       33.00      112.24
  844    593.42    306.44    21.002    20.269       39.73       78.04
  845    742.55    306.38    21.043    19.889       38.28      110.77
  846    400.78    307.49    20.211    19.244       82.32      200.56
  847    473.46    310.03    18.847    17.911      289.32      684.91
  848    483.60    307.66    19.493    18.934      159.49      266.99
  849    205.31    309.83    19.668    18.720      135.78      325.08
  850    205.30    309.84    19.668    18.720      135.81      325.08
  851    216.27    309.92    20.041    19.079       96.27      233.64
  852    663.72    309.67    19.542    18.590      152.41      366.36
  853    701.36    309.14    19.055    18.070      238.71      591.34
  854    689.99    310.32    21.037    20.585       38.49       58.35
  855     67.21    311.57    19.870    19.467      112.69      163.32
  856    422.34    311.20    19.850    18.813      114.86      298.29
  857    543.13    311.33    19.215    18.350      206.05      456.99
  858    644.95    311.27    23.356    23.189        4.54        5.30
  859    790.33    311.53    19.214    18.122      206.28      564.06
  860    256.98    312.92    20.595    19.398       57.79      174.14
  861    317.91    312.51    19.990    19.003      100.96      250.56
  862    385.31    312.33    21.369    20.237       28.33       80.40
  863    429.22    312.44    20.981    19.831       40.52      116.84
  864    530.16    312.20    19.281    18.089      193.87      581.30
  865    775.04    312.50    19.664    18.746      136.28      317.42
  866    152.70    313.28    19.937    18.885      106.00      279.19
  867    239.86    313.30    18.521    17.608      390.62      905.10
  868    290.35    313.61    20.115    18.928       89.96      268.34
  869    295.94    313.01    19.984    19.013      101.50      248.10
  870    330.17    313.89    21.224    19.877       32.40      111.96
  871    394.15    313.09    21.802    19.986       19.01      101.30
  872    415.34    313.71    19.980    18.911      101.87      272.68
  873     84.26    314.84    19.823    18.502      117.68      397.24
  874    522.63    314.73    20.009    19.051       99.21      239.58
  875    751.70    314.14    20.853    19.686       45.60      133.58
  876    280.58    315.88    19.098    18.248      229.56      501.96
  877    672.08    315.58    17.418    15.464     1078.03     6524.52
  878    745.45    316.06    20.860    19.704       45.31      131.35
  879    548.97    317.22    18.163    16.794      543.01     1916.62
  880    577.35    317.97    18.852    17.583      287.89      926.09
  881    716.83    317.75    19.834    18.792      116.50      304.31
  882    230.59    318.74    19.525    18.112      154.88      569.07
  883    495.19    318.54    18.392    16.905      439.92     1729.10
  884     77.08    319.96    21.320    19.805       29.66      119.64
  885    251.95    319.77    22.398    20.700       10.98       52.50
  886    511.36    319.83    20.227    19.315       81.16      188.00
  887    789.63    320.00    19.527    18.698      154.53      331.77
  888    279.68    320.81    18.999    18.085      251.43      583.59
  889    366.92    320.78    19.545    18.466      152.11      410.72
  890    524.53    320.25    19.581    18.757      147.11      314.29
  891    201.63    321.11    20.721    19.624       51.48      141.36
  892    343.24    321.46    22.399    20.444       10.97       66.46
  893    404.02    322.03    20.341    19.183       73.03      212.16
  894    519.09    321.60    19.356    18.530      181.00      387.43
  895    534.95    321.61    20.824    20.442       46.81       66.58
  896    222.67    322.66    22.501    20.258        9.99       78.82
  897    376.47    322.84    19.011    17.607      248.75      905.88
  898    470.12    322.58    20.650    19.377       54.95      177.49
  899    795.25    322.11    19.967    18.790      103.12      304.79
  900     71.69    323.41    19.988    18.935      101.13      266.72
  901    149.67    323.18    21.001    19.665       39.77      136.15
  902    557.33    323.11    19.231    18.294      203.07      481.26
  903    731.72    323.40    21.303    20.823       30.13       46.84
  904    768.90    323.79    19.359    18.241      180.51      505.46
  905    417.98    324.47    21.138    19.939       35.05      105.73
  906    501.64    324.87    20.431    19.571       67.23      148.40
  907    321.26    330.09    19.332    18.275      184.99      489.84
  908    688.83    325.53    18.010    17.185      624.89     1336.18
  909    111.88    326.25    21.133    19.976       35.24      102.26
  910    265.05    326.14    19.637    18.712      139.74      327.51
  911    426.00    326.46    19.292    17.866      191.87      713.76
  912    488.44    326.08    19.871    18.968      112.58      258.63
  913    721.52    326.42    19.410    18.588      172.22      367.14
  914    101.14    327.37    20.503    19.463       62.89      163.94
  915    237.65    328.04    19.738    18.932      127.31      267.33
  916    646.91    327.88    16.989    14.732     1601.60    12801.72
  917    705.71    327.58    19.769    18.679      123.68      337.71
  918     87.51    328.85    19.603    18.465      144.12      411.33
  919    247.69    328.36    20.161    19.473       86.25      162.44
  920    389.25    328.66    20.196    19.158       83.49      217.22
  921    524.91    328.70    21.565    21.145       23.66       34.84
  922    668.44    328.32    19.892    18.946      110.49      264.05
  923    142.20    329.45    20.284    19.120       76.96      224.85
  924    190.54    329.88    20.064    18.938       94.31      266.02
  925    321.26    329.46    19.268    18.275      196.23      489.84
  926    446.73    329.34    19.253    18.252      198.96      500.18
  927    541.48    329.50    19.899    19.100      109.71      229.07
  928    602.96    329.22    20.851    19.462       45.67      164.12
  929    614.14    330.91    20.941    19.497       42.04      158.97
  930    754.75    330.91    20.376    19.244       70.76      200.54
  931    313.57    331.53    17.874    16.243      708.55     3182.00
  932    343.94    331.68    21.675    20.063       21.39       94.40
  933    472.35    332.06    20.231    19.408       80.81      172.50
  934    733.42    332.36    19.939    19.034      105.78      243.34
  935    162.82    334.03    19.694    18.651      132.51      346.31
  936    350.30    333.24    19.991    18.630      100.87      353.03
  937    690.67    333.20    19.256    18.437      198.44      421.75
  938    748.29    333.76    21.999    20.304       15.86       75.56
  939    114.99    334.72    19.590    18.650      145.84      346.62
  940    531.80    334.13    20.205    19.428       82.78      169.28
  941    602.88    334.35    20.995    19.539       39.99      152.90
  942    641.18    334.40    20.085    18.441       92.50      420.38
  943    706.41    334.39    19.717    18.717      129.79      326.10
  944    767.17    334.31    19.705    18.696      131.16      332.35
  945    295.39    335.78    19.109    17.795      227.13      762.22
  946    496.26    335.89    19.419    18.525      170.76      389.02
  947    721.79    335.07    19.867    19.077      113.01      233.93
  948    143.58    336.63    21.028    19.981       38.78      101.80
  949    420.82    336.48    21.649    21.939       21.90       16.76
  950    502.02    336.10    19.790    18.993      121.39      252.70
  951    280.47    337.53    21.147    20.921       34.75       42.81
  952    301.36    337.54    19.027    18.144      245.00      552.60
  953    365.64    337.63    20.816    19.902       47.14      109.47
  954    256.90    338.33    18.890    17.598      278.08      913.53
  955    266.53    338.64    19.727    18.985      128.56      254.64
  956    553.68    338.50    20.025    18.938       97.73      265.90
  957    226.88    339.16    20.545    19.583       60.54      146.78
  958    272.58    339.99    18.938    18.013      266.03      623.60
  959    408.56    339.93    19.123    17.605      224.37      907.72
  960    716.40    339.73    19.433    18.668      168.62      340.99
  961    246.49    340.65    18.776    17.480      308.73     1018.60
  962    290.60    340.88    18.684    17.715      336.17      820.03
  963    441.47    340.35    19.819    18.992      118.15      252.94
  964    736.12    340.04    17.988    16.693      638.08     2102.49
  965    591.77    341.16    19.443    18.507      167.03      395.51
  966    622.38    341.77    20.829    20.608       46.61       57.14
  967    177.53    342.78    19.644    18.703      138.76      330.09
  968    316.82    342.55    19.988    19.164      101.08      215.88
  969    351.78    342.42    17.063    14.786     1495.38    12181.18
  970    416.33    342.27    20.093    19.160       91.80      216.86
  971    603.54    342.73    20.169    19.395       85.61      174.59
  972    150.22    343.54    21.141    20.043       34.98       96.07
  973    478.61    343.29    17.001    15.570     1583.34     5913.78
  974    532.23    343.55    19.592    19.151      145.64      218.50
  975    572.56    344.44    19.437    18.642      167.88      349.44
  976    700.05    344.72    20.065    19.265       94.15      196.85
  977    457.45    345.47    20.087    19.167       92.31      215.43
  978    650.07    346.53    21.499    22.579       25.13        9.30
  979    781.50    346.76    21.496    19.607       25.21      143.59
  980    129.35    347.46    19.950    18.880      104.73      280.62
  981    180.09    347.67    19.918    18.939      107.86      265.75
  982    200.39    347.24    19.920    18.927      107.68      268.76
  983    431.65    347.46    17.713    15.976      821.63     4069.95
  984    468.12    347.46    21.045    20.093       38.21       91.78
  985    590.51    347.71    18.695    17.323      332.56     1177.28
  986    788.85    347.16    19.564    18.216      149.38      517.25
  987     66.23    348.44    20.205    19.723       82.82      129.04
  988    376.12    348.15    19.956    19.052      104.09      239.50
  989    664.76    348.89    19.533    18.628      153.72      353.86
  990    743.53    348.26    18.095    16.663      578.28     2162.29
  991    190.55    349.13    19.799    18.723      120.34      324.11
  992    254.66    349.95    19.705    18.687      131.19      335.01
  993    384.24    349.31    19.075    17.684      234.38      843.74
  994    396.37    349.69    21.576    20.287       23.41       76.76
  995    630.61    350.10    19.022    18.377      246.13      445.86
  996     81.36    351.81    21.025    19.497       38.91      158.88
  997    235.20    351.33    19.956    18.978      104.12      256.40
  998    623.75    352.03    18.247    17.340      502.55     1159.04
  999    424.40    352.82    17.699    16.230      832.19     3220.24
 1000    533.59    352.78    19.210    18.354      207.01      455.26
 1001    561.75    352.39    19.091    17.808      231.09      753.26
 1002    770.53    352.74    18.869    17.943      283.44      665.07
 1003    242.14    353.45    21.948    20.367       16.62       71.31
 1004    354.31    353.18    18.636    17.649      351.25      871.40
 1005    445.97    355.26    19.184    18.437      212.02      421.97
 1006    510.75    353.51    19.451    18.572      165.78      372.44
 1007    598.53    353.48    20.296    20.127       76.10       88.96
 1008    603.80    353.43    20.798    20.550       47.97       60.27
 1009    790.32    353.97    18.985    17.672      254.69      853.65
 1010    136.24    354.30    19.516    18.571      156.17      372.89
 1011    210.70    354.43    20.845    20.020       45.90       98.16
 1012    382.86    354.30    19.025    17.949      245.56      661.57
 1013    574.39    354.17    19.889    19.135      110.80      221.92
 1014    588.94    354.71    17.587    15.959      922.93     4135.71
 1015    681.53    354.59    19.628    18.741      140.80      318.86
 1016    114.43    355.96    19.382    18.417      176.67      429.71
 1017    162.43    355.21    19.240    18.281      201.32      487.26
 1018    445.96    355.26    19.175    18.437      213.77      421.97
 1019    543.56    355.63    20.101    19.320       91.13      187.12
 1020    579.66    356.91    19.298    18.322      190.84      469.16
 1021    744.84    356.54    19.708    18.637      130.80      350.92
