# ID  X  Y  MAG_F336W  MAG_F555W  FLUX_F336W  FLUX_F555W
  117    681.14     97.55    19.550    18.601      151.38      362.63
  118    167.43     98.18    23.273    20.515        4.91       62.24
  119    239.30     98.37    20.304    19.691       75.55      132.96
  120    301.76     98.10    20.649    19.678       55.00      134.52
  121    694.64     98.88    20.931    19.931       42.41      106.56
  122    498.72     99.13    19.581    18.770      147.13      310.52
  123    662.08     99.36    16.559    16.085     2378.42     3680.80
  124    723.06     99.41    21.020    21.052       39.08       37.94
  125    310.00    100.89    18.913    17.556      272.26      949.78
  126    364.25    100.34    21.116    19.978       35.78      102.04
  127    492.74    101.10    19.459    18.501      164.59      397.83
  128    250.22    101.20    19.730    18.619      128.27      356.74
  129    532.84    101.86    20.378    19.255       70.62      198.55
  130    544.09    101.39    21.320    19.680       29.66      134.25
  131    681.05     97.76    19.487    18.601      160.46      362.63
  132    646.82    103.42    19.390    18.405      175.43      434.63
  133    196.83    104.85    18.928    18.025      268.50      616.58
  134    209.25    104.63    22.068    20.568       14.89       59.28
  135    231.86    104.52    21.255    19.617       31.49      142.27
  136    400.35    104.48    19.452    18.428      165.59      425.25
  137    586.10    104.29    20.555    19.283       59.97      193.59
  138    245.00    105.98    19.919    18.899      107.74      275.70
  139    481.88    105.29    16.646    14.722     2194.86    12922.52
  140    597.17    105.75    18.744    17.226      317.97     1286.51
  141    689.18    105.82    20.222    19.366       81.53      179.37
  142    172.73    106.21    21.386    19.791       27.90      121.24
  143    520.95    106.62    19.681    18.736      134.20      320.45
  144    610.73    106.49    22.554    20.259        9.52       78.78
  145    754.23    106.97    19.365    18.422      179.48      427.72
  146    381.96    108.51    20.881    19.593       44.42      145.53
  147    627.37    108.87    19.605    18.381      143.90      444.25
  148    620.25    109.57    20.948    19.628       41.76      140.86
  149    787.59    110.09    16.884    15.593     1764.38     5792.84
  150    398.79    110.17    19.755    18.680      125.27      337.24
  151    470.64    110.21    20.198    19.090       83.34      231.26
  152    673.98    111.02    20.159    19.463       86.41      163.98
  153    389.82    111.97    20.481    19.344       64.23      182.97
  154    534.86    111.23    16.710    15.561     2069.79     5963.57
  155    563.77    111.22    21.069    19.941       37.35      105.54
  156    156.43    112.72    18.292    16.698      482.20     2093.53
  157    661.49    112.53    21.050    19.747       38.01      126.20
  158    682.49    113.05    19.475    18.230      162.19      510.41
  159     86.68    113.49    20.340    19.748       73.15      126.09
  160     43.06    114.92    17.095    15.919     1452.35     4288.44
  161    170.39    115.90    19.014    18.087      248.07      582.19
  162    399.93    115.81    20.051    19.360       95.37      180.34
  163    481.81    115.59    19.802    18.836      120.01      292.23
  164    584.10    115.38    19.661    18.565      136.66      374.94
  165    700.36    115.25    20.368    19.654       71.26      137.55
  166    770.16    115.32    19.341    18.127      183.43      561.27
  167    258.85    116.57    21.615    20.100       22.59       91.19
  168    425.92    116.29    19.042    17.723      241.56      814.05
  169    115.75    117.78    19.166    18.136      215.65      556.58
  170    162.01    117.95    19.554    18.185      150.83      532.18
  171    222.32    117.34    22.481    19.889       10.17      110.73
  172    444.70    117.69    20.263    19.176       78.46      213.60
  173    750.33    117.98    19.405    18.361      173.05      452.46
  174    408.81    118.86    19.806    19.089      119.58      231.48
  175    714.45    118.91    17.728    16.008      810.57     3953.49
  176    765.41    122.68    20.065    18.865       94.22      284.42
  177     83.53    119.18    19.791    19.047      121.28      240.57
  178    292.51    119.40    20.589    19.839       58.15      115.94
  179    476.17    120.03    18.913    18.025      272.13      616.46
  180    661.43    119.21    23.143    20.280        5.53       77.24
  181    724.30    119.75    19.889    18.718      110.78      325.78
  182    316.18    120.95    21.789    20.339       19.25       73.19
  183    392.70    120.97    20.210    19.369       82.42      178.77
  184    589.84    120.57    22.266    21.685       12.40       21.18
  185    774.63    120.48    19.725    18.661      128.78      343.16
  186    342.01    121.62    20.732    19.702       50.95      131.61
  187    546.79    121.71    20.178    19.256       84.87      198.44
  188    579.29    121.26    19.771    18.798      123.46      302.63
  189    702.30    121.25    22.362    20.019       11.35       98.29
  190    336.46    122.49    21.297    20.050       30.28       95.48
  191    540.17    122.57    19.389    18.545      175.56      382.04
  192    795.54    122.50    19.305    18.287      189.63      484.49
  193    364.93    123.91    20.682    19.509       53.36      157.19
  194    563.09    123.82    19.893    18.883      110.34      279.71
  195    616.05    123.45    19.268    18.285      196.25      485.08
  196    668.75    123.05    19.710    18.733      130.66      321.09
  197    681.94    123.84    19.673    18.319      135.13      470.31
  198    695.26    123.47    20.192    19.239       83.78      201.64
  199    726.95    124.44    20.233    19.318       80.70      187.36
  200    114.56    125.43    19.957    19.087      104.08      231.84
  201    447.34    125.78    19.625    18.727      141.32      322.99
  202    239.07    126.17    21.436    20.329       26.64       73.85
  203    503.59    126.24    21.059    19.798       37.72      120.47
  204    600.78    126.85    19.306    18.505      189.54      396.23
  205     55.32    127.43    20.044    19.956       96.02      104.15
  206    386.67    127.83    19.574    18.739      148.06      319.55
  207    475.48    127.76    18.635    17.430      351.71     1066.88
  208    753.36    127.12    20.158    19.136       86.45      221.55
  209    190.94    129.31    20.415    19.903       68.24      109.38
  210    177.24    130.22    20.032    18.991       97.10      253.24
  211    314.55    130.80    21.301    19.872       30.18      112.50
  212    456.94    130.54    18.942    17.356      264.91     1141.39
  213    339.50    132.07    20.950    19.714       41.70      130.17
  214    347.22    131.26    21.974    20.683       16.23       53.29
  215    537.86    131.22    20.136    19.375       88.21      177.87
  216    656.28    131.34    20.646    19.445       55.17      166.77
  217    232.21    133.09    23.025    20.651        6.17       54.90
  218    286.44    132.37    19.744    18.986      126.54      254.51
  219    609.76    132.94    24.278    20.277        1.94       77.46
  220    619.82    132.83    20.518    20.119       62.06       89.62
  221    633.78    132.59    20.669    19.442       53.99      167.17
  222     84.26    133.23    20.310    19.765       75.15      124.15
  223    132.54    133.20    19.593    19.078      145.46      233.70
  224    261.49    133.72    19.169    17.951      215.06      660.38
  225    331.26    133.25    21.057    19.887       37.79      110.98
  226    728.79    133.45    19.488    18.350      160.25      456.99
  227    217.86    135.57    19.257    18.340      198.23      461.28
  228    555.51    134.11    21.444    19.819       26.45      118.14
  229    592.45    134.39    19.496    18.655      159.07      345.09
  230    672.53    134.42    20.793    19.796       48.15      120.70
  231    252.86    135.25    19.760    18.694      124.69      333.02
  232    326.46    135.54    20.208    19.243       82.54      200.76
  233    522.91    135.11    16.878    15.433     1773.26     6710.89
  234    217.77    135.55    19.257    18.340      198.31      461.28
  235    403.10    136.81    19.651    18.650      137.93      346.80
  236    475.00    136.39    20.279    19.568       77.35      148.91
  237    499.17    136.16    17.226    15.176     1287.10     8503.22
  238    563.01    136.44    19.577    18.569      147.69      373.70
  239    156.68    137.73    21.129    19.894       35.36      110.28
  240    373.40    137.28    19.940    18.857      105.72      286.57
  241    448.71    137.37    20.493    19.716       63.48      129.88
  242    598.80    137.48    18.930    18.117      267.94      566.65
  243    262.90    138.46    19.193    18.120      210.23      565.05
  244    513.59    139.05    20.148    19.278       87.29      194.50
  245    684.16    142.79    19.185    18.317      211.88      471.04
  246    702.52    139.07    20.655    19.435       54.71      168.29
  247     99.75    139.48    20.449    19.841       66.15      115.78
  248    148.14    140.77    19.692    18.721      132.82      324.65
  249    213.20    140.12    20.654    19.647       54.74      138.38
  250    348.29    140.86    20.650    19.504       54.95      157.96
  251    426.03    140.76    20.116    19.114       89.86      226.10
  252    618.44    141.05    21.654    20.854       21.80       45.52
  253    232.05    141.50    20.255    19.303       79.09      190.01
  254    253.66    141.73    19.859    18.911      113.89      272.58
  255    611.72    141.56    21.922    22.419       17.03       10.77
  256    714.90    142.50    19.725    18.621      128.83      356.16
  257     41.92    144.01    17.112    14.873     1429.24    11238.31
  258    676.07    143.17    19.528    18.680      154.46      337.29
  259    684.11    143.01    19.189    18.317      211.11      471.04
  260    691.76    143.65    19.003    18.070      250.47      591.40
  261    184.65    144.35    19.323    18.246      186.54      503.21
  262    237.73    144.31    21.782    20.373       19.38       70.90
  263    386.23    144.92    16.820    15.497     1870.57     6329.41
  264    590.42    144.96    20.856    19.366       45.47      179.24
  265    663.89    141.81    20.281    19.051       77.23      239.67
  266    761.85    144.84    19.945    18.910      105.19      272.79
  267    268.24    145.52    19.977    18.922      102.12      269.82
  268    458.82    145.74    18.811    17.243      298.98     1266.55
  269    479.19    145.13    19.543    18.705      152.36      329.48
  270    526.22    145.74    19.891    18.873      110.60      282.31
  271     55.12    147.87    20.539    19.523       60.88      155.11
