# ID  X  Y  MAGNITUDE  FLUX
  168    228.67     81.89    20.468       65.01
  169    464.03     81.82    20.575       58.90
  170    685.80     82.06    19.433      168.55
  171    398.44     82.81    22.875        7.08
  172     35.17     86.34    20.547       60.43
  173    208.56     85.24    20.085       92.44
  174    362.56     84.88    21.619       22.51
  175    431.52     84.54    16.949     1661.48
  176    558.94     85.25    20.769       49.26
  177    590.36     85.47    19.667      135.87
  178    697.11     84.46    24.531        1.54
  179    726.69     85.45    19.306      189.41
  180    337.88     86.33    18.552      379.37
  181    493.74     85.66    19.374      177.98
  182    671.08     86.17    20.209       82.51
  183     80.97     86.72    20.137       88.15
  184    121.91     87.45    19.487      160.36
  185    242.09     87.35    18.726      323.40
  186    647.93     87.15    18.441      420.17
  187    748.94     87.20    20.441       66.63
  188    388.58     87.00    19.232      202.83
  189    777.15     88.09    19.227      203.81
  190    235.50     88.50    17.043     1523.48
  191    424.25     89.25    19.917      107.97
  192    622.44     89.03    21.590       23.11
  193    634.24     88.90    21.195       33.26
  194    796.44     88.67    21.213       32.73
  195    352.27     90.97    20.797       48.00
  196    528.09     91.23    20.497       63.26
  197    358.61     91.64    19.875      112.25
  198    394.35     92.24    23.116        5.67
  199    653.06     92.07    19.478      161.80
  200    124.40     92.90    20.354       72.20
  201    263.83     92.58    20.311       75.09
  202    322.06     93.47    19.353      181.55
  203    363.85     92.75    20.286       76.85
  204    628.32     93.04    20.260       78.70
  205    718.26     92.82    20.394       69.54
  206    755.15     93.26    20.513       62.36
  207    270.98     94.42    20.521       61.91
  208    407.95     93.58    19.667      135.83
  209    478.60     93.74    20.713       51.86
  210    510.87     93.82    19.166      215.58
  211    704.57     92.79    19.696      132.36
  212    711.95     93.91    20.266       78.29
  213    790.97     93.89    20.723       51.37
  214    795.99     94.46    20.623       56.35
  215      2.09     95.22    18.803      301.24
  216    376.82     94.67    23.861        2.85
  217    439.36     95.84    21.516       24.75
  218    452.51     95.08    19.181      212.52
  219    680.85     96.91    19.550      151.38
  220    167.03     97.59    23.273        4.91
  221    238.86     97.75    20.304       75.55
  222    301.40     97.52    20.649       55.00
  223    694.33     98.26    20.931       42.41
  224    498.37     98.51    19.581      147.13
  225    661.84     98.74    16.559     2378.42
  226    722.93     98.75    21.020       39.08
  227    309.65    100.26    18.913      272.26
  228    363.86     99.75    21.116       35.78
  229    492.43    100.45    19.459      164.59
  230    249.82    100.61    19.730      128.27
  231    442.02    101.02    22.274       12.31
  232    532.56    101.24    20.378       70.62
  233    543.83    100.81    21.320       29.66
  234    680.67     97.32    19.487      160.46
  235    646.58    102.79    19.390      175.43
  236    196.42    104.21    18.928      268.50
  237    208.80    104.00    22.068       14.89
  238    231.48    103.90    21.255       31.49
  239    399.91    103.87    19.452      165.59
  240    585.81    103.68    20.555       59.97
  241    244.67    105.34    19.919      107.74
  242    481.59    104.67    16.646     2194.86
  243    596.89    105.12    18.744      317.97
  244    688.96    105.20    20.222       81.53
  245    172.31    105.56    21.386       27.90
  246    520.64    106.00    19.681      134.20
  247    610.42    105.91    22.554        9.52
  248    753.96    106.28    19.365      179.48
  249    381.70    107.93    20.881       44.42
  250    446.97    107.98    23.009        6.26
  251    627.03    108.23    19.605      143.90
  252    693.58    107.61    20.769       49.27
  253    619.95    108.93    20.948       41.76
  254    787.32    109.43    16.884     1764.38
  255    398.48    109.56    19.755      125.27
  256    470.27    109.58    20.198       83.34
  257    673.79    110.38    20.159       86.41
  258    389.46    111.35    20.481       64.23
  259    534.58    110.60    16.710     2069.79
  260    563.51    110.62    21.069       37.35
  261    155.94    112.10    18.292      482.20
