# ID  X  Y  MAGNITUDE  FLUX
   67    695.98     73.76    18.411      432.14
   68    515.27     75.12    18.161      543.88
   69    383.97     75.83    20.162       86.16
   70    391.45     75.87    20.068       93.92
   71    753.80     75.99    17.500     1000.41
   72    149.17     76.90    18.429      425.11
   73    398.24     76.87    19.290      192.40
   74    582.98     76.62    18.207      521.50
   75    120.61     77.65    19.182      212.34
   76    190.71     79.10    18.594      365.06
   77    315.17     78.81    19.589      146.01
   78    786.41     79.36    18.015      622.19
   79    796.55     78.58    18.175      536.83
   80    215.99     79.71    15.365     7141.79
   81    292.94     79.62    20.508       62.64
   82    591.97     79.52    17.727      811.03
   83    606.70     79.81    19.516      156.19
   84     76.33     81.21    19.461      164.25
   85     84.20     80.74    19.243      200.85
   86    272.44     81.05    19.714      130.19
   87    281.47     81.18    19.491      159.77
   88    376.10     80.88    19.007      249.62
   89    660.40     80.86    19.950      104.69
   90    114.02     82.42    20.570       59.15
   91    267.67     82.13    19.512      156.80
   92    308.78     81.77    19.776      122.89
   93    337.58     82.30    17.351     1147.13
   94    369.07     82.03    19.347      182.52
   95    423.06     82.72    19.117      225.44
   96    464.84     83.10    19.856      114.22
   97    686.21     83.32    18.559      376.97
   98    158.33     83.66    15.464     6520.39
   99    399.08     84.04    20.542       60.71
  100    209.33     86.45    18.855      286.97
  101    363.25     86.26    19.535      153.49
  102    432.13     85.77    15.653     5480.25
  103    697.82     85.72    20.358       71.93
  104    494.33     86.91    18.408      433.21
  105    559.75     86.50    19.546      151.96
  106    591.00     86.72    18.700      331.25
  107    671.74     87.45    19.023      245.90
  108    727.07     86.72    18.379      445.01
  109     81.96     87.93    19.550      151.42
  110    338.76     87.63    16.992     1596.90
  111    648.55     88.45    17.513      988.34
  112    749.45     88.39    20.309       75.24
  113    122.72     88.71    18.792      304.31
  114    243.01     88.61    17.439     1057.74
  115    389.28     88.29    18.227      511.91
  116    777.75     89.36    18.342      460.26
  117    236.24     89.78    15.607     5717.15
  118    425.03     90.48    18.796      302.99
  119    623.07     90.24    20.236       80.50
  120    634.91     90.22    19.912      108.48
  121    797.01     89.97    19.927      106.95
  122    359.21     92.86    17.977      644.30
  123    528.87     92.58    19.507      157.51
  124    653.75     93.32    18.697      332.00
  125    264.64     93.86    19.935      106.14
  126    628.92     94.32    19.366      179.23
  127    718.85     94.06    19.316      187.82
  128    325.96     97.99    18.604      361.69
  129    408.76     94.80    18.723      324.12
  130    479.23     94.97    19.413      171.70
  131    511.68     95.07    18.110      570.14
  132    565.33     95.20    20.228       81.09
  133    705.10     94.04    18.682      336.57
  134    712.42     95.09    18.998      251.64
  135    791.26     95.19    19.187      211.43
  136    271.91     95.64    20.276       77.52
  137    377.43     95.92    20.207       82.65
  138    796.31     95.63    19.244      200.58
  139      7.18     99.24    21.151       34.63
  140    440.04     97.02    19.757      125.05
  141    453.05     97.11    17.942      665.37
  142    681.43     98.20    18.601      362.63
  143    167.83     98.77    20.515       62.24
  144    239.75     98.99    19.691      132.96
  145    302.11     98.69    19.678      134.52
  146    499.07     99.75    18.770      310.52
  147    662.32     99.98    16.085     3680.80
  148    694.96     99.49    19.931      106.56
  149    723.20    100.08    21.052       37.94
  150    310.34    101.52    17.556      949.78
  151    364.64    100.93    19.978      102.04
  152    250.63    101.80    18.619      356.74
  153    493.06    101.75    18.501      397.83
  154    533.12    102.47    19.255      198.55
  155    544.34    101.97    19.680      134.25
  156    499.07     99.75    18.770      310.52
  157    647.07    104.04    18.405      434.63
  158    197.24    105.48    18.025      616.58
  159    209.69    105.27    20.568       59.28
  160    232.24    105.14    19.617      142.27
  161    400.79    105.10    18.428      425.25
  162    586.38    104.90    19.283      193.59
  163    482.16    105.90    14.722    12922.52
  164    597.46    106.37    17.226     1286.51
  165    689.41    106.45    19.366      179.37
  166    173.15    106.86    19.791      121.24
  167    245.33    106.62    18.899      275.70
  168    521.26    107.24    18.736      320.45
  169    611.04    107.07    20.259       78.78
  170    754.50    107.67    18.422      427.72
  171    382.22    109.10    19.593      145.53
  172    620.55    110.20    19.628      140.86
  173    627.71    109.50    18.381      444.25
  174    399.09    110.79    18.680      337.24
  175    471.02    110.85    19.090      231.26
  176    787.85    110.74    15.593     5792.84
  177    535.15    111.86    15.561     5963.57
  178    564.02    111.81    19.941      105.54
  179    674.17    111.67    19.463      163.98
  180    156.91    113.33    16.698     2093.53
  181    390.18    112.59    19.344      182.97
  182    661.83    113.14    19.747      126.20
  183     87.22    114.06    19.748      126.09
  184    248.11    113.92    19.810      119.11
  185    682.82    113.71    18.230      510.41
  186     43.68    115.50    15.919     4288.44
  187    400.23    116.42    19.360      180.34
  188    482.13    116.22    18.836      292.23
  189    584.35    115.99    18.565      374.94
  190    700.67    115.87    19.654      137.55
  191    770.36    115.94    18.127      561.27
  192    777.67    115.77    19.801      120.06
  193    170.88    116.54    18.087      582.19
  194    259.20    117.17    20.100       91.19
  195    426.22    116.87    17.723      814.05
  197    794.05    116.97    18.943      264.69
  198    116.16    118.40    18.136      556.58
  199    222.80    117.97    19.889      110.73
  200    445.01    118.31    19.176      213.60
  201    162.41    118.55    18.185      532.18
  202    409.12    119.47    19.089      231.48
  203    750.59    118.62    18.361      452.46
  204     84.02    119.76    19.047      240.57
  205    292.96    119.93    19.839      115.94
  206    661.72    119.83    20.280       77.24
  207    714.76    119.55    16.008     3953.49
  208    724.57    120.38    18.718      325.78
  209    214.03    121.07    20.323       74.28
  210    476.56    120.67    18.025      616.46
  211    590.13    121.14    21.685       21.18
  212    774.90    121.12    18.661      343.16
  213    316.63    121.59    20.339       73.19
  214    342.35    122.21    19.702      131.61
  215    393.07    121.62    19.369      178.77
  216    547.09    122.33    19.256      198.44
  217    579.63    121.89    18.798      302.63
  218    616.07    123.98    18.285      485.08
  219    702.62    121.88    20.019       98.29
  220    336.88    123.06    20.050       95.48
  221    413.76    123.26    18.665      341.94
  222    540.49    123.16    18.545      382.04
  223    765.74    123.11    18.865      284.42
  224    795.81    123.12    18.287      484.49
  225    365.24    124.48    19.509      157.19
  226    563.37    124.41    18.883      279.71
  227    616.79    124.13    18.355      455.08
  228    669.02    123.70    18.733      321.09
  229    682.15    124.43    18.319      470.31
  230    695.56    124.10    19.239      201.64
  231    475.89    128.42    17.430     1066.90
  232    727.11    125.07    19.318      187.36
  233    115.03    126.04    19.087      231.84
  234    286.11    125.65    20.156       86.58
  235    447.75    126.40    18.727      322.99
  236    655.11    125.93    20.645       55.23
  237    239.42    126.81    20.329       73.85
  238    391.80    127.35    19.049      240.16
  239    503.92    126.86    19.798      120.47
  240    601.07    127.45    18.505      396.23
  241     55.89    128.05    19.956      104.15
  242    387.02    128.46    18.739      319.55
  243    475.90    128.41    17.430     1066.88
  244    753.61    127.73    19.136      221.55
  245    191.28    129.90    19.903      109.38
  246    387.01    128.46    18.739      319.55
  247    177.69    130.81    18.991      253.24
  248    314.97    131.43    19.872      112.50
  249    457.22    131.14    17.356     1141.39
  250    347.54    131.84    20.683       53.29
  251    538.15    131.83    19.375      177.87
  252    656.56    131.97    19.445      166.77
  253    286.89    132.99    18.986      254.51
  254    339.93    132.69    19.714      130.17
  255    620.03    133.49    20.119       89.62
  256    634.05    133.22    19.442      167.17
  257     22.37    132.31    18.696      332.21
  258     84.79    133.74    19.765      124.15
  259    133.00    133.85    19.078      233.70
  260    232.61    133.74    20.651       54.90
  261    261.94    134.32    17.951      660.38
  262    331.77    133.81    19.887      110.98
  263    610.06    133.55    20.277       77.46
  264    729.03    134.05    18.350      456.99
  265     47.63    135.18    20.273       77.75
  266    218.34    136.23    18.340      461.28
  267    555.82    134.67    19.819      118.14
  268    592.83    135.00    18.655      345.09
  269    672.83    135.04    19.796      120.70
  270    253.23    135.85    18.694      333.02
  271    326.90    136.14    19.243      200.76
  272    523.18    135.73    15.433     6710.89
  273    403.48    137.44    18.650      346.80
  274    475.34    136.98    19.568      148.91
  275    499.51    136.76    15.176     8503.22
  276    563.27    137.02    18.569      373.70
  277    157.09    138.33    19.894      110.28
  278    373.83    137.85    18.857      286.57
  279    449.10    137.97    19.716      129.88
  280    599.05    138.09    18.117      566.65
  281    263.27    139.05    18.120      565.05
  282    664.11    142.44    19.050      239.95
  283    100.22    140.08    19.841      115.78
  284    513.96    139.67    19.278      194.50
  285    702.85    139.72    19.435      168.29
  286    148.58    141.37    18.721      324.65
  287    213.63    140.69    19.647      138.38
  288    426.38    141.40    19.114      226.10
  289    232.34    142.06    19.303      190.01
  290    254.05    142.32    18.911      272.58
  291    348.74    141.49    19.504      157.96
  292    612.03    142.12    22.419       10.77
  293    618.77    141.68    20.854       45.52
  294    664.12    142.42    19.051      239.67
  295    715.10    143.14    18.621      356.16
  296    136.91    143.91    21.130       35.33
  297    676.30    143.78    18.680      337.29
  298    684.36    143.58    18.317      471.04
  299    692.04    144.24    18.070      591.40
  300     42.43    144.55    14.873    11238.31
  301    185.11    144.92    18.246      503.21
  302    238.10    144.92    20.373       70.90
  303    590.80    145.70    19.366      179.24
  304    664.11    142.40    19.051      239.67
  305    762.05    145.48    18.910      272.79
  306    268.70    146.11    18.922      269.82
  307    386.63    145.55    15.497     6329.41
  308    459.13    146.34    17.243     1266.55
  309    479.53    145.75    18.705      329.48
  310    526.55    146.32    18.873      282.31
  311    365.88    146.93    20.669       53.98
  312     82.08    148.18    18.617      357.58
  313    349.83    147.68    20.328       73.92
  314    553.27    148.30    19.013      248.19
  315     16.01    149.31    20.623       56.32
  316     55.65    148.48    19.523      155.11
  317    177.28    148.90    18.939      265.60
  318    202.39    148.61    19.249      199.76
  319    568.01    149.68    18.135      557.35
  320    438.01    149.75    17.659      863.69
  321    568.01    149.68    18.145      552.01
  322    720.87    149.51    18.026      615.85
  323    749.05    150.02    19.161      216.62
  324    113.61    151.11    18.956      261.67
  325    410.91    151.18    18.365      450.73
  326    451.83    151.14    19.351      181.81
  327    664.08    150.67    19.749      126.03
  328    683.73    150.94    20.470       64.87
  329    740.58    150.99    18.853      287.49
  330    236.92    151.85    20.124       89.18
  331    282.60    151.52    16.873     1782.10
  332    516.71    152.42    19.374      177.92
  333    762.99    151.99    18.704      329.96
  334    576.17    153.31    18.923      269.72
  335    585.07    153.22    16.037     3847.21
  336    593.29    153.28    15.607     5719.76
  337    605.68    153.06    24.299        1.91
  338    636.72    152.99    19.118      225.24
  339    791.13    152.48    15.415     6823.89
  340    146.33    154.11    18.620      356.58
  341    153.97    154.46    19.404      173.15
  342    617.65    153.98    15.577     5879.59
  343     86.77    154.83    19.042      241.61
  344    325.08    155.22    19.628      140.81
  345    396.04    155.14    20.355       72.14
  346    433.25    154.91    16.781     1939.47
  347    709.08    155.27    18.997      251.85
  348    108.43    156.12    19.543      152.35
  349    299.71    155.50    20.439       66.77
  350    646.79    156.24    18.817      297.21
  351    146.33    154.11    18.620      356.57
  352    167.90    157.44    18.896      276.37
  353    273.95    157.04    20.883       44.35
  354    450.06    157.11    17.715      820.45
  355    692.03    157.29    20.217       81.87
  356    339.93    158.51    20.340       73.11
  357    415.80    157.98    19.514      156.47
  358    525.96    158.35    18.989      253.76
  359    709.07    155.26    18.998      251.71
  360    534.40    159.36    19.205      208.00
  361    665.16    159.22    21.010       39.44
  363    771.95    158.60    18.551      379.67
  364    248.00    160.28    20.064       94.26
  365    559.93    159.69    19.935      106.16
  366    614.56    159.69    17.754      791.50
  367    672.10    160.12    18.855      287.14
  368    713.93    161.34    19.964      103.34
  369    749.72    161.09    18.387      441.86
  370    785.39    161.20    20.291       76.49
  372     45.64    161.56    16.743     2008.91
  373    503.07    162.31    18.039      608.58
  374    143.05    162.85    20.019       98.30
  375    224.46    162.92    18.978      256.41
  376    409.86    163.02    18.831      293.37
  377    432.99    162.55    18.345      459.15
  378    642.68    163.39    18.877      281.45
  379    654.84    163.09    18.529      387.51
  380    792.47    163.01    17.813      749.66
  381    186.77    164.26    19.468      163.26
  382    272.42    163.91    18.677      338.08
  383    765.31    164.19    18.518      391.57
  384    777.06    163.64    19.778      122.66
  385    266.75    166.38    18.348      458.02
  386    283.93    165.54    19.356      180.90
  387    365.13    165.84    17.950      660.80
  388    396.40    165.79    15.471     6477.61
  389    588.81    166.07    17.693      837.16
  390     85.73    166.95    18.520      390.86
  391    415.39    166.88    19.527      154.63
  392    547.41    167.35    19.823      117.69
  393    597.15    167.45    18.556      378.22
  394    631.04    167.28    17.593      917.69
  395    314.77    167.67    18.922      269.83
  396    331.80    167.75    19.092      230.76
  397    429.14    167.58    18.590      366.30
  398    522.76    168.42    19.391      175.30
  399    559.26    168.15    19.294      191.67
  400    569.64    168.40    18.252      500.33
  401     61.43    170.23    20.126       89.02
  402    141.27    169.87    19.135      221.74
  403    705.40    170.04    20.710       52.01
  404    656.62    171.34    18.885      279.34
  405    682.81    170.70    15.227     8116.83
  406    741.89    170.57    20.457       65.65
  407    751.76    170.90    19.440      167.52
  408    764.74    170.66    19.867      113.06
  409    478.25    172.29    18.656      344.95
  410    624.89    172.41    18.442      419.85
  411    171.36    172.89    19.135      221.91
  412    206.33    173.14    19.819      118.10
  413    267.83    173.43    19.212      206.62
  414    402.20    172.69    19.669      135.70
  415    352.44    174.17    19.324      186.42
  416    361.33    174.16    18.179      535.08
  417    422.38    174.25    21.185       33.58
  418    585.07    173.90    17.830      737.81
  419    644.23    174.28    19.526      154.79
  420    777.30    174.40    20.071       93.63
  421    301.36    175.11    19.304      189.90
  422    500.66    174.92    18.260      496.67
  423      2.28    177.03    20.521       61.91
  424    280.20    176.34    18.759      313.69
  425    627.46    176.42    18.528      387.88
  426     50.81    177.41    17.630      887.37
  427     88.37    177.32    19.965      103.25
  428    160.76    176.65    15.604     5735.64
  429    225.19    176.61    19.735      127.63
  430    329.87    177.11    17.003     1580.15
  431    711.51    176.92    19.402      173.46
  432    132.19    177.79    19.074      234.67
  433    689.33    177.82    19.741      126.93
  434    700.51    178.21    20.341       73.04
  435    236.12    179.00    19.629      140.77
  436    321.56    179.10    19.724      128.93
  437    551.24    179.23    19.306      189.43
  438    673.54    179.47    19.382      176.76
  439    735.42    179.34    19.714      130.13
  440    122.93    179.81    18.432      424.00
  441    308.12    182.40    19.407      172.64
  442    346.95    179.57    19.422      170.35
  443    416.39    179.80    20.896       43.83
  444    491.15    179.99    19.044      241.21
  445    544.98    180.03    19.856      114.22
  446    673.25    179.45    19.367      179.14
  447    573.82    181.07    19.090      231.14
  448     78.14    182.12    19.504      157.84
  449    168.82    181.82    18.831      293.54
  450    207.86    182.12    19.554      150.83
  451    341.99    181.91    19.606      143.79
  452    713.12    181.69    18.922      269.98
  453     70.40    183.11    19.101      228.94
  454    360.76    183.17    21.150       34.68
  455    496.09    183.41    19.000      251.25
  456    773.42    182.94    19.891      110.52
  457    587.05    183.61    18.614      358.47
  458    301.01    188.47    17.412     1084.28
  459    384.06    184.67    19.148      219.18
  460    403.80    184.61    15.590     5806.72
  461    557.08    184.68    19.351      181.81
  462    672.48    185.27    18.173      537.97
  463    792.15    184.70    19.430      169.00
  464    378.08    185.52    18.643      348.99
  465    445.15    185.81    19.722      129.19
  466    694.49    185.89    19.283      193.64
  467    711.50    185.86    18.695      332.69
  468    728.17    186.04    20.102       90.99
  469    225.33    187.11    19.667      135.88
  470    277.19    186.69    17.093     1454.41
  471    471.08    186.92    18.820      296.58
  472    507.33    186.75    19.624      141.36
  473    526.73    187.44    15.790     4831.05
  474    615.27    187.60    19.054      239.02
  475    634.73    186.77    19.886      111.07
  476    766.12    187.12    20.287       76.79
  477    285.99    188.35    20.390       69.85
  478    302.00    188.31    17.337     1161.68
  479    325.02    188.47    19.308      189.14
  480    430.99    188.39    20.176       85.03
  481    600.26    188.03    20.634       55.78
  482    679.45    188.42    20.482       64.18
  483    715.67    188.28    18.587      367.49
  484    390.67    189.26    19.838      116.11
  485    722.20    188.89    18.977      256.48
  486    189.20    189.96    18.306      475.80
  487    255.01    190.05    18.869      283.42
  488    572.10    190.18    16.663     2161.84
  489    294.01    191.47    19.744      126.59
  490    480.68    190.80    18.351      456.66
  491    147.83    191.54    18.671      340.20
  492    355.13    191.93    19.632      140.37
  493    539.89    191.87    19.085      232.29
  494    550.09    191.91    18.736      320.37
  495    780.63    190.33    18.190      529.45
  496    448.27    193.25    18.376      446.23
  497    652.72    192.01    18.524      389.48
  498    384.02    194.25    18.779      307.98
  499    433.30    195.54    18.839      291.24
  500    630.53    194.10    20.268       78.13
  501    743.04    194.10    19.831      116.85
  502    230.99    195.36    20.087       92.28
  503    403.00    195.34    19.023      245.88
  504    615.72    194.60    18.364      451.41
  505    669.70    195.27    18.559      377.12
  506    517.20    195.81    20.445       66.38
  507    564.57    196.15    21.211       32.78
  508    577.70    196.09    18.342      460.27
  509    658.14    195.53    19.378      177.37
  510    590.78    197.18    19.553      150.92
  511     56.60    197.90    18.962      260.18
  512    277.64    197.98    20.426       67.56
  513    301.94    198.26    18.650      346.87
  514    422.26    197.86    18.777      308.40
  515    479.15    198.08    17.786      768.36
  516    135.08    198.73    19.886      111.05
  517    153.11    198.94    19.172      214.34
  518    198.09    198.93    20.155       86.68
  519    635.30    199.06    22.561        9.46
  520    760.98    199.38    18.597      364.00
  521    115.24    200.10    19.453      165.44
  522    295.34    200.48    18.650      346.59
  523    598.65    199.95    18.942      265.09
  524    180.96    200.63    19.238      201.74
  525    255.36    204.36    19.097      229.66
  526    321.62    200.94    18.807      300.16
  527    700.98    201.12    21.265       31.19
  528    417.84    203.17    18.763      312.56
  529    670.72    201.91    19.363      179.79
  530    494.81    202.71    18.873      282.27
  531    625.86    203.03    16.710     2069.86
  532    643.79    202.65    19.480      161.41
  533    751.97    203.34    19.452      165.59
  534    235.82    204.20    20.642       55.35
  535    255.37    204.36    19.097      229.66
  536    477.30    203.80    18.768      311.13
  537    677.33    203.98    19.440      167.47
  538    171.87    204.60    19.180      212.73
  539    739.57    205.42    20.365       71.43
  540    134.44    205.76    19.530      154.15
  541    143.00    206.40    19.314      188.14
  542    320.07    206.16    19.052      239.53
  543    376.53    209.44    18.430      424.58
  544    488.09    205.53    19.747      126.27
  545    512.06    206.15    19.933      106.36
  546    634.88    206.29    20.165       85.88
  547    690.22    206.99    18.328      466.25
  548    177.73    207.70    18.953      262.22
  549    351.38    208.28    19.087      231.82
  550    399.19    208.12    19.821      117.96
  551    466.97    207.69    20.625       56.24
  552    768.91    208.22    18.681      337.02
  553     95.56    209.00    20.240       80.13
  554    346.34    209.13    18.898      275.84
  555    376.54    209.43    18.429      424.87
  556    590.41    209.23    19.457      164.93
  557    663.01    209.34    18.316      471.45
  558     12.78    210.69    20.729       51.11
  559    189.07    210.10    18.540      383.76
  560    385.08    209.90    18.270      491.87
  561    459.82    211.08    16.947     1664.41
  562    559.62    211.04    18.270      492.02
  563    784.19    210.72    18.368      449.69
  564     68.33    212.00    18.795      303.28
  565    224.44    211.90    17.312     1188.75
  566    392.68    212.46    19.493      159.46
  567    474.96    212.05    17.272     1233.26
  568    515.68    211.52    20.354       72.17
  569    207.08    213.34    19.725      128.79
  570    276.53    213.50    19.152      218.37
  571    670.18    212.67    20.111       90.28
  572    748.01    213.07    19.602      144.22
  573     85.71    213.64    19.031      244.03
  574    633.27    214.22    19.621      141.74
  575    239.25    214.53    18.976      256.91
  576    256.25    214.85    19.826      117.34
  577    377.34    216.06    18.628      353.74
  578    270.68    216.13    19.753      125.51
  579    348.88    216.23    19.484      160.88
  580    384.31    216.02    17.557      948.82
  581    420.21    215.81    18.750      316.14
  582    445.68    215.61    20.462       65.33
  583    560.32    216.40    17.939      667.49
  584    569.26    216.24    19.350      181.97
  585    311.70    217.33    18.473      407.96
  586    322.78    217.42    18.774      309.39
  587    462.11    216.60    18.724      323.85
  588    684.11    216.92    18.928      268.38
  589    758.12    216.82    20.023       97.88
  590    295.21    218.25    18.967      258.90
  591    474.88    217.60    17.664      859.86
  592    646.44    217.75    18.696      332.38
  593    699.03    218.34    20.553       60.11
  594    727.25    217.99    18.151      549.10
  595    497.85    219.09    19.220      205.19
  596    560.32    216.40    17.939      667.49
  597    151.78    220.22    18.793      303.90
  598    410.08    219.62    14.359    18049.35
  599    604.06    219.26    18.723      324.07
  600    425.23    221.07    18.180      534.81
  601    440.39    220.63    18.897      276.09
  602    780.87    220.90    17.978      643.93
  604    655.98    221.93    20.844       45.95
  605    160.60    222.58    19.217      205.73
  606    209.92    223.13    20.653       54.79
  607    234.28    222.96    22.787        7.68
  608    432.59    223.10    18.541      383.32
  609    491.77    223.24    18.514      392.97
  610    536.68    222.65    19.995      100.43
  611    693.99    222.87    19.399      173.94
  612    719.45    223.44    18.951      262.86
  613    224.78    224.30    20.088       92.23
  614    247.32    223.65    19.957      104.04
  615    382.60    224.35    19.902      109.49
  616    505.04    223.74    19.244      200.72
  617    574.12    227.09    18.470      409.35
  618     50.44    224.92    19.979      101.93
  619    418.12    224.60    18.562      375.89
  620    446.94    224.70    20.618       56.58
  621    643.67    224.51    19.960      103.75
  622    453.72    225.96    22.484       10.15
  623    616.33    225.56    15.523     6178.74
  624    686.71    225.77    18.246      503.17
  625    126.37    227.03    19.114      226.20
  626    324.97    226.85    18.946      263.94
  627    568.78    226.77    17.975      645.67
  628    772.55    227.13    15.290     7656.79
  629    167.87    228.20    20.331       73.73
  630    230.17    229.37    20.317       74.67
  631    350.90    228.99    18.781      307.22
  632    575.55    229.06    19.178      213.12
  633    747.27    229.28    19.503      158.00
  634    237.87    233.82    18.074      589.54
  635    341.35    229.93    20.032       97.08
  636    469.48    230.01    18.241      505.34
  637    585.53    230.34    17.394     1102.39
  638    191.05    230.66    15.668     5405.58
  639    296.38    231.20    18.032      612.89
  640    308.95    231.34    19.027      244.95
  641    502.84    230.84    19.833      116.60
  642    607.75    230.89    18.743      318.36
  643    719.91    231.35    18.924      269.43
  644    180.06    232.21    20.377       70.70
  645    673.86    232.32    19.218      205.42
  646    386.09    232.96    17.186     1335.03
  647    393.40    232.80    19.661      136.70
  648    758.92    233.33    18.593      365.34
  649    237.87    233.67    18.072      590.46
  650    481.82    233.59    16.295     3034.50
  651    652.46    234.19    19.925      107.14
  652    158.12    234.88    20.088       92.22
  653    280.19    234.92    19.922      107.50
  654    549.74    234.91    15.589     5813.83
  655    622.10    234.81    18.398      437.48
  656    101.21    236.39    19.698      132.07
  657    268.11    235.79    20.253       79.23
  658    746.26    236.01    20.008       99.31
  659    202.17    237.06    18.860      285.63
  660    419.46    237.41    20.608       57.14
  661    449.72    236.57    18.138      555.52
  662    275.00    238.92    19.149      218.98
  663    289.90    239.32    15.613     5684.19
  664    543.11    236.87    17.444     1053.14
  665    668.11    239.04    18.761      313.16
  666    682.23    240.27    18.722      324.57
  667    787.68    239.39    18.747      317.06
  668    796.58    239.12    18.785      306.10
  669    402.90    239.78    22.361       11.36
  670    569.93    239.91    21.867       17.92
  671    578.06    239.77    18.297      479.78
  672    656.18    240.08    19.550      151.36
  673    461.20    240.43    19.807      119.42
  674    708.66    240.89    19.004      250.18
  675    746.34    241.06    19.833      116.63
  676    770.86    241.47    18.174      537.38
  677    184.96    241.83    19.607      143.59
  678    497.52    242.20    20.602       57.44
  679    682.17    239.87    18.726      323.30
  680    715.47    242.17    18.188      530.78
  681    348.65    242.65    17.513      988.11
  682    371.53    243.75    17.935      670.03
  683    428.05    242.76    18.354      455.41
  684    222.37    244.79    17.868      712.24
  685    375.87    244.47    18.012      624.07
  686    191.78    245.18    19.079      233.58
  687    239.21    245.49    19.349      182.20
  688    342.46    244.88    19.132      222.51
  689    518.92    244.65    19.662      136.58
  690    604.95    244.80    18.308      475.28
  691    656.75    244.80    19.420      170.57
  692    734.63    245.15    19.269      196.04
  693     77.67    245.72    18.710      328.21
  694    662.08    245.93    19.403      173.23
  695    756.54    245.57    18.644      348.58
  696    765.15    245.71    18.511      394.11
  697    779.92    245.80    19.330      185.37
  698    222.92    243.94    17.937      668.49
  699    397.06    246.65    19.831      116.83
  700    503.82    247.01    18.586      367.75
  701    625.54    246.56    15.408     6868.45
  702    696.19    247.05    19.669      135.70
  703    714.10    246.77    18.406      433.93
  704    770.78    247.82    18.208      520.73
  705    314.25    248.87    19.031      244.21
  706    435.46    248.90    19.953      104.45
  707    493.20    249.00    20.326       74.05
  708    742.20    249.33    15.929     4251.42
  709    320.10    249.98    19.364      179.67
  710    790.08    250.01    21.829       18.54
  711    361.92    251.35    19.345      182.88
  712    419.07    251.23    18.554      378.78
  713    443.93    250.97    18.961      260.48
  714    566.72    250.74    21.292       30.43
  715    594.72    250.76    17.619      896.56
  716    668.11    251.05    18.483      404.41
  717    724.51    251.03    19.121      224.73
  718    164.81    251.91    20.783       48.63
  719    249.08    251.64    19.406      172.85
  720    262.81    252.49    17.974      646.28
  721    294.63    251.85    18.909      273.10
  722     48.09    252.97    19.680      134.22
  723    356.24    253.48    18.590      366.30
  724    761.91    253.43    19.647      138.41
  725    783.37    253.18    21.862       18.00
  726     59.01    254.13    20.390       69.85
  727    286.42    254.07    18.139      555.23
  728    527.19    253.74    15.526     6158.89
  729    550.96    253.63    20.836       46.30
  730    648.06    254.07    20.067       94.04
  731    717.41    253.62    19.442      167.17
  732    190.76    254.58    18.921      270.14
  733    618.23    254.91    19.983      101.57
  734    733.82    255.20    17.273     1232.16
  735    377.09    255.92    20.125       89.12
  736    501.48    256.08    19.362      179.96
  737    508.60    256.52    20.404       68.95
  738    586.95    255.71    20.674       53.76
  739    669.67    256.48    17.968      650.06
  740    116.87    257.40    20.304       75.55
  741    153.64    256.94    19.570      148.63
  742    276.10    257.18    19.301      190.37
  743    344.06    256.92    19.873      112.41
  744    444.14    256.58    18.567      374.21
  745    248.12    258.43    19.949      104.82
  746    483.61    258.37    18.218      516.28
  747    635.98    257.86    20.747       50.27
  748    794.20    258.02    19.711      130.50
  749     86.43    259.07    18.788      305.45
