# ID  X  Y  MAGNITUDE  FLUX
    6    284.57      9.37    20.500       63.08
    7    772.59      9.18    21.688       21.13
   11    127.84     10.89    20.229       80.99
   16    259.25     33.91    16.707     2075.38
   19    789.20     53.33    18.874      282.06
   20    563.15     53.61    17.181     1341.80
   21    189.37     54.65    19.297      191.05
   22    469.01     55.95    19.126      223.74
   23    717.21     55.06    18.918      270.84
   24    736.90     57.86    19.715      130.06
   25    555.89     59.33    19.211      206.77
   26    706.74     58.88    19.293      191.81
   27    723.36     58.89    19.115      225.94
   28    273.88     59.73    18.912      272.36
   29    294.74     60.69    18.968      258.60
   30    355.86     60.67    18.190      529.59
   31    630.15     61.50    18.232      509.55
   32    579.02     61.84    18.347      458.45
   33    710.56     62.42    19.603      144.14
   34    493.06     63.01    18.168      540.30
   35    653.41     63.17    18.996      252.05
   36    458.98     64.10    18.310      474.32
   37     70.85     65.01    19.283      193.57
   38    287.88     65.33    17.712      822.26
   39    590.83     64.61    18.260      496.67
   40    690.98     65.04    17.493     1006.41
   41    556.90     65.62    19.063      236.92
   42    736.91     66.26    18.672      339.93
   43    126.83     66.91    18.145      551.94
   44    192.11     66.86    16.835     1844.85
   45    348.96     66.76    19.063      236.94
   46    380.61     66.89    18.717      326.11
   47    394.19     67.10    19.611      143.13
   48    466.60     67.30    18.629      353.60
   49    502.93     67.34    20.310       75.15
   50    666.79     66.91    19.112      226.50
   51    168.14     67.67    19.994      100.53
   52    210.91     67.99    18.254      499.56
   53    443.31     68.62    17.836      733.88
   54    603.73     68.87    18.793      303.99
   55    401.28     70.45    18.784      306.40
   56     91.04     70.69    19.495      159.26
   57    472.76     70.97    19.728      128.44
   58    534.94     72.16    18.977      256.55
   59    558.39     71.65    19.943      105.42
   60    771.65     71.73    19.978      102.06
   61    158.82     72.69    18.786      305.78
   62    180.10     73.34    18.021      619.09
   63    314.97     72.58    19.727      128.60
   64    670.14     72.99    18.237      507.45
   65    790.06     72.75    19.536      153.26
   66    167.43     73.98    19.488      160.28
